Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
Sub-County Place,Imperial city,01-01-2010,2010,January,N,Final,7600,5800,1800,0.234
Sub-County Place,Imperial Beach city,01-01-2010,2010,January,N,Final,12500,10300,2100,0.171
Sub-County Place,Independence CDP,01-01-2010,2010,January,N,Final,260,210,50,0.195
Sub-County Place,Indian Falls CDP,01-01-2010,2010,January,N,Final,0,0,0,0
Sub-County Place,Indian Wells city,01-01-2010,2010,January,N,Final,1600,1400,200,0.107
Sub-County Place,Indio city,01-01-2010,2010,January,N,Final,35400,29900,5500,0.155
Sub-County Place,Industry city,01-01-2010,2010,January,N,Final,100,100,0,0.036
Sub-County Place,Inglewood city,01-01-2010,2010,January,N,Final,53900,44900,9100,0.168
Sub-County Place,Interlaken CDP,01-01-2010,2010,January,N,Final,3700,2900,700,0.204
Sub-County Place,Inverness CDP,01-01-2010,2010,January,N,Final,700,700,0,0
Sub-County Place,Inyokern CDP,01-01-2010,2010,January,N,Final,700,600,0,0.069
Sub-County Place,Ione city,01-01-2010,2010,January,N,Final,1620,1420,190,0.119
Sub-County Place,Iron Horse CDP,01-01-2010,2010,January,N,Final,110,110,0,0
Sub-County Place,Irvine city,01-01-2010,2010,January,N,Final,108500,99800,8600,0.08
Sub-County Place,Irwindale city,01-01-2010,2010,January,N,Final,700,600,100,0.168
Sub-County Place,Isla Vista CDP,01-01-2010,2010,January,N,Final,12700,10000,2700,0.212
Sub-County Place,Isleton city,01-01-2010,2010,January,N,Final,400,300,100,0.219
Sub-County Place,Ivanhoe CDP,01-01-2010,2010,January,N,Final,2500,1700,800,0.33
Sub-County Place,Jackson city,01-01-2010,2010,January,N,Final,2140,1750,390,0.183
Sub-County Place,Jamestown CDP,01-01-2010,2010,January,N,Final,1640,1250,390,0.239
Sub-County Place,Johannesburg CDP,01-01-2010,2010,January,N,Final,100,100,0,0
Sub-County Place,Johnsville CDP,01-01-2010,2010,January,N,Final,30,30,0,0
Sub-County Place,Joshua Tree CDP,01-01-2010,2010,January,N,Final,3000,2300,700,0.222
Sub-County Place,Jurupa Valley city,01-01-2010,2010,January,N,Final,44800,36600,8200,0.184
Sub-County Place,Keddie CDP,01-01-2010,2010,January,N,Final,40,40,0,0
Sub-County Place,Keeler CDP,01-01-2010,2010,January,N,Final,10,10,0,0
Sub-County Place,Keene CDP,01-01-2010,2010,January,N,Final,200,100,0,0.158
Sub-County Place,Kelseyville CDP,01-01-2010,2010,January,N,Final,1480,1160,320,0.216
Sub-County Place,Kennedy CDP,01-01-2010,2010,January,N,Final,1100,1000,100,0.122
Sub-County Place,Kensington CDP,01-01-2010,2010,January,N,Final,2600,2400,200,0.071
Sub-County Place,Kerman city,01-01-2010,2010,January,N,Final,6500,5500,1000,0.156
Sub-County Place,Kernville CDP,01-01-2010,2010,January,N,Final,600,600,0,0.035
Sub-County Place,Kettleman City CDP,01-01-2010,2010,January,N,Final,600,400,200,0.341
Sub-County Place,Keyes CDP,01-01-2010,2010,January,N,Final,2100,1500,600,0.294
Sub-County Place,King City city,01-01-2010,2010,January,N,Final,6400,4300,2100,0.325
Sub-County Place,Kings Beach CDP,01-01-2010,2010,January,N,Final,2400,2100,300,0.124
Sub-County Place,Kingsburg city,01-01-2010,2010,January,N,Final,5700,4700,1100,0.187
Sub-County Place,Kirkwood CDP,01-01-2010,2010,January,N,Final,70,60,10,0.104
Sub-County Place,Klamath CDP,01-01-2010,2010,January,N,Final,370,290,70,0.199
Sub-County Place,Knightsen CDP,01-01-2010,2010,January,N,Final,700,600,100,0.144
Sub-County Place,La Canada Flintridge city,01-01-2010,2010,January,N,Final,9000,8300,700,0.073
Sub-County Place,La Crescenta Montrose CDP,01-01-2010,2010,January,N,Final,10000,9100,900,0.087
Sub-County Place,Ladera Heights CDP,01-01-2010,2010,January,N,Final,3300,3000,300,0.091
Sub-County Place,Lafayette city,01-01-2010,2010,January,N,Final,11100,10400,700,0.066
Sub-County Place,Laguna Beach city,01-01-2010,2010,January,N,Final,12100,11200,1000,0.081
Sub-County Place,Laguna Hills city,01-01-2010,2010,January,N,Final,16500,14900,1600,0.096
Sub-County Place,Laguna Niguel city,01-01-2010,2010,January,N,Final,33600,30300,3200,0.096
Sub-County Place,Laguna Woods city,01-01-2010,2010,January,N,Final,3900,3500,400,0.106
Sub-County Place,La Habra city,01-01-2010,2010,January,N,Final,30400,26800,3600,0.118
Sub-County Place,La Habra Heights city,01-01-2010,2010,January,N,Final,2200,2100,100,0.043
Sub-County Place,Lake Almanor Country Club CDP,01-01-2010,2010,January,N,Final,150,150,0,0
Sub-County Place,Lake Almanor Peninsula CDP,01-01-2010,2010,January,N,Final,30,30,0,0
Sub-County Place,Lake Almanor West CDP,01-01-2010,2010,January,N,Final,180,130,50,0.277
Sub-County Place,Lake Arrowhead CDP,01-01-2010,2010,January,N,Final,4000,3600,400,0.109
Sub-County Place,Lake Elsinore city,01-01-2010,2010,January,N,Final,24000,20300,3700,0.153
Sub-County Place,Lake Forest city,01-01-2010,2010,January,N,Final,43200,39900,3300,0.076
Sub-County Place,Lake Isabella CDP,01-01-2010,2010,January,N,Final,1200,1100,100,0.088
Sub-County Place,Lakeland Village CDP,01-01-2010,2010,January,N,Final,6000,4700,1300,0.216
Sub-County Place,Lake Los Angeles CDP,01-01-2010,2010,January,N,Final,5000,3900,1100,0.224
Sub-County Place,Lake Nacimiento CDP,01-01-2010,2010,January,N,Final,1300,1100,200,0.162
Sub-County Place,Lake of the Pines CDP,01-01-2010,2010,January,N,Final,1610,1430,180,0.112
Sub-County Place,Lake of the Woods CDP,01-01-2010,2010,January,N,Final,400,400,100,0.159
Sub-County Place,Lakeport city,01-01-2010,2010,January,N,Final,2350,2070,270,0.117
Sub-County Place,Lakeside CDP,01-01-2010,2010,January,N,Final,10400,9000,1400,0.131
Sub-County Place,Lakeview CDP,01-01-2010,2010,January,N,Final,700,600,100,0.101
Sub-County Place,Lake Wildwood CDP,01-01-2010,2010,January,N,Final,1940,1830,110,0.055
Sub-County Place,Lakewood city,01-01-2010,2010,January,N,Final,41100,36900,4200,0.102
Sub-County Place,La Mesa city,01-01-2010,2010,January,N,Final,29900,26400,3500,0.116
Sub-County Place,La Mirada city,01-01-2010,2010,January,N,Final,22900,20800,2100,0.093
Sub-County Place,Lamont CDP,01-01-2010,2010,January,N,Final,7000,5700,1300,0.187
Sub-County Place,Lanare CDP,01-01-2010,2010,January,N,Final,200,100,100,0.485
Sub-County Place,Lancaster city,01-01-2010,2010,January,N,Final,62900,53800,9100,0.145
Sub-County Place,La Palma city,01-01-2010,2010,January,N,Final,7200,6700,600,0.08
Sub-County Place,La Porte CDP,01-01-2010,2010,January,N,Final,0,0,0,0
Sub-County Place,La Puente city,01-01-2010,2010,January,N,Final,18400,16300,2100,0.116
Sub-County Place,La Quinta city,01-01-2010,2010,January,N,Final,16200,14700,1500,0.094
Sub-County Place,La Riviera CDP,01-01-2010,2010,January,N,Final,6100,5100,1000,0.169
Sub-County Place,Larkspur city,01-01-2010,2010,January,N,Final,6400,5700,700,0.105
Sub-County Place,Las Flores CDP,01-01-2010,2010,January,N,Final,3200,3100,100,0.046
Sub-County Place,Las Lomas CDP,01-01-2010,2010,January,N,Final,1600,1100,500,0.325
Sub-County Place,Lathrop city,01-01-2010,2010,January,N,Final,7200,6000,1200,0.171
Sub-County Place,Laton CDP,01-01-2010,2010,January,N,Final,600,600,100,0.091
Sub-County Place,La Verne city,01-01-2010,2010,January,N,Final,14800,13300,1500,0.101
Sub-County Place,Lawndale city,01-01-2010,2010,January,N,Final,16300,14300,2000,0.125
Sub-County Place,Laytonville CDP,01-01-2010,2010,January,N,Final,580,490,100,0.164
Sub-County Place,Lebec CDP,01-01-2010,2010,January,N,Final,600,500,100,0.142
Sub-County Place,Le Grand CDP,01-01-2010,2010,January,N,Final,700,600,200,0.22
Sub-County Place,Lemon Cove CDP,01-01-2010,2010,January,N,Final,100,0,0,0.328
Sub-County Place,Lemon Grove city,01-01-2010,2010,January,N,Final,12300,10500,1800,0.148
Sub-County Place,Lemoore city,01-01-2010,2010,January,N,Final,11500,9600,1900,0.163
Sub-County Place,Lemoore Station CDP,01-01-2010,2010,January,N,Final,1200,1000,200,0.139
Sub-County Place,Lennox CDP,01-01-2010,2010,January,N,Final,9800,8600,1300,0.128
Sub-County Place,Lenwood CDP,01-01-2010,2010,January,N,Final,1300,1000,300,0.212
Sub-County Place,Lewiston CDP,01-01-2010,2010,January,N,Final,400,350,50,0.135
Sub-County Place,Lincoln city,01-01-2010,2010,January,N,Final,18200,15700,2500,0.135
Sub-County Place,Lincoln Village CDP,01-01-2010,2010,January,N,Final,2600,2200,400,0.163
Sub-County Place,Linda CDP,01-01-2010,2010,January,N,Final,6800,5100,1700,0.245
Sub-County Place,Linden CDP,01-01-2010,2010,January,N,Final,900,800,100,0.097
Sub-County Place,Lindsay city,01-01-2010,2010,January,N,Final,5300,4000,1400,0.255
Sub-County Place,Little Grass Valley CDP,01-01-2010,2010,January,N,Final,10,10,0,0
Sub-County Place,Littlerock CDP,01-01-2010,2010,January,N,Final,600,500,100,0.173
Sub-County Place,Live Oak CDP,01-01-2010,2010,January,N,Final,8500,7300,1300,0.147
Sub-County Place,Live Oak city,01-01-2010,2010,January,N,Final,3500,2900,600,0.176
Sub-County Place,Livermore city,01-01-2010,2010,January,N,Final,43000,39600,3500,0.081
Sub-County Place,Livingston city,01-01-2010,2010,January,N,Final,6300,4700,1600,0.249
Sub-County Place,Lockeford CDP,01-01-2010,2010,January,N,Final,1600,1200,300,0.207
Sub-County Place,Lodi city,01-01-2010,2010,January,N,Final,28800,24000,4800,0.167
Sub-County Place,Loma Linda city,01-01-2010,2010,January,N,Final,11000,10100,900,0.083
Sub-County Place,Loma Rica CDP,01-01-2010,2010,January,N,Final,1300,1100,200,0.127
Sub-County Place,Lomita city,01-01-2010,2010,January,N,Final,11000,10000,1000,0.094
Sub-County Place,Lompoc city,01-01-2010,2010,January,N,Final,17500,15000,2500,0.143
Sub-County Place,London CDP,01-01-2010,2010,January,N,Final,900,600,300,0.328
Sub-County Place,Lone Pine CDP,01-01-2010,2010,January,N,Final,1020,900,130,0.124
Sub-County Place,Long Beach city,01-01-2010,2010,January,N,Final,235800,202400,33400,0.142
Sub-County Place,Loomis town,01-01-2010,2010,January,N,Final,3000,2700,300,0.087
Sub-County Place,Los Alamitos city,01-01-2010,2010,January,N,Final,5600,5100,600,0.104
Sub-County Place,Los Alamos CDP,01-01-2010,2010,January,N,Final,600,500,100,0.22
Sub-County Place,Los Altos city,01-01-2010,2010,January,N,Final,12900,11900,1000,0.076
Sub-County Place,Los Angeles city,01-01-2010,2010,January,N,Final,1958500,1689200,269300,0.137
Sub-County Place,Los Banos city,01-01-2010,2010,January,N,Final,15600,12300,3300,0.212
Sub-County Place,Los Gatos town,01-01-2010,2010,January,N,Final,14200,13100,1100,0.079
Sub-County Place,Los Molinos CDP,01-01-2010,2010,January,N,Final,840,750,90,0.107
Sub-County Place,Lost Hills CDP,01-01-2010,2010,January,N,Final,1000,900,100,0.123
Sub-County Place,Lower Lake CDP,01-01-2010,2010,January,N,Final,440,420,20,0.041
Sub-County Place,Loyalton city,01-01-2010,2010,January,N,Final,360,310,40,0.118
Sub-County Place,Lucerne CDP,01-01-2010,2010,January,N,Final,1080,790,290,0.269
Sub-County Place,Lynwood city,01-01-2010,2010,January,N,Final,28400,23900,4500,0.158
Sub-County Place,McCloud CDP,01-01-2010,2010,January,N,Final,520,390,130,0.253
Sub-County Place,McFarland city,01-01-2010,2010,January,N,Final,5100,3800,1300,0.256
Sub-County Place,McKinleyville CDP,01-01-2010,2010,January,N,Final,8800,7800,1000,0.111
Sub-County Place,McKittrick CDP,01-01-2010,2010,January,N,Final,100,0,0,0.37
Sub-County Place,Madera city,01-01-2010,2010,January,N,Final,26500,22400,4100,0.155
Sub-County Place,Madera Acres CDP,01-01-2010,2010,January,N,Final,4200,3600,600,0.153
Sub-County Place,Magalia CDP,01-01-2010,2010,January,N,Final,4400,3700,700,0.163
Sub-County Place,Malibu city,01-01-2010,2010,January,N,Final,5900,5400,500,0.077
Sub-County Place,Mammoth Lakes town,01-01-2010,2010,January,N,Final,5790,5310,480,0.082
Sub-County Place,Manhattan Beach city,01-01-2010,2010,January,N,Final,18000,17000,1000,0.056
Sub-County Place,Manteca city,01-01-2010,2010,January,N,Final,33100,27200,5900,0.178
Sub-County Place,Manton CDP,01-01-2010,2010,January,N,Final,100,80,20,0.178
Sub-County Place,March AFB CDP,01-01-2010,2010,January,N,Final,200,200,0,0.094
Sub-County Place,Maricopa city,01-01-2010,2010,January,N,Final,500,400,200,0.294
Sub-County Place,Marina city,01-01-2010,2010,January,N,Final,10600,9100,1500,0.14
Sub-County Place,Marina del Rey CDP,01-01-2010,2010,January,N,Final,6600,5800,800,0.12
Sub-County Place,Mariposa CDP,01-01-2010,2010,January,N,Final,730,690,40,0.057
Sub-County Place,Markleeville CDP,01-01-2010,2010,January,N,Final,210,200,10,0.056
Sub-County Place,Martinez city,01-01-2010,2010,January,N,Final,19700,17600,2100,0.106
Sub-County Place,Marysville city,01-01-2010,2010,January,N,Final,4800,3900,900,0.191
Sub-County Place,Mayflower Village CDP,01-01-2010,2010,January,N,Final,3000,2700,300,0.094
Sub-County Place,Maywood city,01-01-2010,2010,January,N,Final,12300,10700,1700,0.135
Sub-County Place,Meadow Valley CDP,01-01-2010,2010,January,N,Final,400,330,70,0.176
Sub-County Place,Meadow Vista CDP,01-01-2010,2010,January,N,Final,1600,1400,200,0.105
Sub-County Place,Mecca CDP,01-01-2010,2010,January,N,Final,3600,2400,1300,0.349
Sub-County Place,Meiners Oaks CDP,01-01-2010,2010,January,N,Final,1800,1700,100,0.06
Sub-County Place,Mendocino CDP,01-01-2010,2010,January,N,Final,580,520,60,0.11
Sub-County Place,Mendota city,01-01-2010,2010,January,N,Final,5800,3900,1900,0.33
Sub-County Place,Menifee City,01-01-2010,2010,January,N,Final,33800,28200,5600,0.167
Sub-County Place,Menlo Park city,01-01-2010,2010,January,N,Final,16600,15400,1200,0.073
Sub-County Place,Mentone CDP,01-01-2010,2010,January,N,Final,4700,4300,400,0.077
Sub-County Place,Merced city,01-01-2010,2010,January,N,Final,33600,27000,6600,0.198
Sub-County Place,Mesa CDP,01-01-2010,2010,January,N,Final,210,190,10,0.063
Sub-County Place,Mesa Vista CDP,01-01-2010,2010,January,N,Final,130,120,10,0.084
Sub-County Place,Mettler CDP,01-01-2010,2010,January,N,Final,100,100,0,0.203
Sub-County Place,Middletown CDP,01-01-2010,2010,January,N,Final,790,660,130,0.162
Sub-County Place,Millbrae city,01-01-2010,2010,January,N,Final,10700,9800,800,0.079
Sub-County Place,Mill Valley city,01-01-2010,2010,January,N,Final,6900,6500,400,0.063
Sub-County Place,Milpitas city,01-01-2010,2010,January,N,Final,33700,30100,3600,0.108
Sub-County Place,Mineral CDP,01-01-2010,2010,January,N,Final,60,60,0,0
Sub-County Place,Mira Monte CDP,01-01-2010,2010,January,N,Final,4100,3600,500,0.118
Sub-County Place,Mission Canyon CDP,01-01-2010,2010,January,N,Final,1200,1100,100,0.065
Sub-County Place,Mission Hills CDP,01-01-2010,2010,January,N,Final,1700,1500,200,0.136
Sub-County Place,Mission Viejo city,01-01-2010,2010,January,N,Final,48200,43500,4700,0.098
Sub-County Place,Mi Wuk Village CDP,01-01-2010,2010,January,N,Final,410,380,30,0.061
Sub-County Place,Modesto city,01-01-2010,2010,January,N,Final,94100,77000,17100,0.181
Sub-County Place,Mohawk Vista CDP,01-01-2010,2010,January,N,Final,90,90,0,0
Sub-County Place,Mojave CDP,01-01-2010,2010,January,N,Final,1400,1000,400,0.276
Sub-County Place,Mokelumne Hill CDP,01-01-2010,2010,January,N,Final,490,290,200,0.405
Sub-County Place,Mono Vista CDP,01-01-2010,2010,January,N,Final,1250,970,280,0.224
Sub-County Place,Monrovia city,01-01-2010,2010,January,N,Final,20000,18000,2000,0.102
Sub-County Place,Montclair city,01-01-2010,2010,January,N,Final,17300,15200,2100,0.122
Sub-County Place,Montebello city,01-01-2010,2010,January,N,Final,27800,24700,3100,0.113
Sub-County Place,Montecito CDP,01-01-2010,2010,January,N,Final,3500,3100,400,0.109
Sub-County Place,Monterey city,01-01-2010,2010,January,N,Final,14100,12200,1900,0.134
Sub-County Place,Monterey Park city,01-01-2010,2010,January,N,Final,28600,25300,3300,0.117
Sub-County Place,Monte Rio CDP,01-01-2010,2010,January,N,Final,600,500,100,0.117
Sub-County Place,Moorpark city,01-01-2010,2010,January,N,Final,18800,17100,1700,0.092
Sub-County Place,Morada CDP,01-01-2010,2010,January,N,Final,1900,1600,300,0.142
Sub-County Place,Moraga town,01-01-2010,2010,January,N,Final,7000,6400,600,0.083
Sub-County Place,Moreno Valley city,01-01-2010,2010,January,N,Final,88100,74600,13500,0.153
Sub-County Place,Morgan Hill city,01-01-2010,2010,January,N,Final,19700,17200,2500,0.126
Sub-County Place,Morongo Valley CDP,01-01-2010,2010,January,N,Final,1700,1400,300,0.172
Sub-County Place,Morro Bay city,01-01-2010,2010,January,N,Final,5100,4700,500,0.093
Sub-County Place,Moss Landing CDP,01-01-2010,2010,January,N,Final,200,100,100,0.384
Sub-County Place,Mountain Mesa CDP,01-01-2010,2010,January,N,Final,500,300,200,0.416
Sub-County Place,Mountain Ranch CDP,01-01-2010,2010,January,N,Final,810,640,170,0.205
Sub-County Place,Mountain View CDP,01-01-2010,2010,January,N,Final,1100,1000,100,0.124
Sub-County Place,Mountain View city,01-01-2010,2010,January,N,Final,43800,39900,3900,0.089
Sub-County Place,Mountain View Acres CDP,01-01-2010,2010,January,N,Final,1500,1200,300,0.222
Sub-County Place,Mount Shasta city,01-01-2010,2010,January,N,Final,1880,1520,360,0.192
Sub-County Place,Murphys CDP,01-01-2010,2010,January,N,Final,770,720,50,0.06
Sub-County Place,Murrieta city,01-01-2010,2010,January,N,Final,48900,43100,5800,0.118
Sub-County Place,Muscoy CDP,01-01-2010,2010,January,N,Final,4500,3500,900,0.211
Sub-County Place,Napa city,01-01-2010,2010,January,N,Final,39300,34400,4900,0.125
Sub-County Place,National City city,01-01-2010,2010,January,N,Final,24700,21100,3500,0.143
Sub-County Place,Needles city,01-01-2010,2010,January,N,Final,1900,1700,200,0.105
Sub-County Place,Nevada City city,01-01-2010,2010,January,N,Final,1570,1410,160,0.103
Sub-County Place,Newark city,01-01-2010,2010,January,N,Final,22400,20200,2200,0.1
Sub-County Place,Newman city,01-01-2010,2010,January,N,Final,4700,3800,800,0.177
Sub-County Place,Newport Beach city,01-01-2010,2010,January,N,Final,44200,40400,3900,0.087
Sub-County Place,Nice CDP,01-01-2010,2010,January,N,Final,960,850,110,0.112
Sub-County Place,Nipomo CDP,01-01-2010,2010,January,N,Final,8300,7200,1100,0.127
Sub-County Place,Norco city,01-01-2010,2010,January,N,Final,11500,10100,1300,0.118
Sub-County Place,North Auburn CDP,01-01-2010,2010,January,N,Final,5900,5100,800,0.139
Sub-County Place,North Edwards CDP,01-01-2010,2010,January,N,Final,500,400,100,0.22
Sub-County Place,North El Monte CDP,01-01-2010,2010,January,N,Final,2100,2000,100,0.046
Sub-County Place,North Fair Oaks CDP,01-01-2010,2010,January,N,Final,8200,7100,1100,0.137
Sub-County Place,North Highlands CDP,01-01-2010,2010,January,N,Final,18300,15800,2500,0.137
Sub-County Place,North Lakeport CDP,01-01-2010,2010,January,N,Final,1560,1360,200,0.13
Sub-County Place,Norwalk city,01-01-2010,2010,January,N,Final,50000,43400,6700,0.133
Sub-County Place,Novato city,01-01-2010,2010,January,N,Final,26600,24400,2300,0.085
Sub-County Place,Nuevo CDP,01-01-2010,2010,January,N,Final,2700,2300,500,0.165
Sub-County Place,Oakdale city,01-01-2010,2010,January,N,Final,9600,8100,1500,0.152
Sub-County Place,Oakhurst CDP,01-01-2010,2010,January,N,Final,1300,1100,200,0.132
Sub-County Place,Oakland city,01-01-2010,2010,January,N,Final,205100,176200,29000,0.141
Sub-County Place,Oakley city,01-01-2010,2010,January,N,Final,17700,15200,2500,0.144
Sub-County Place,Oak Park CDP,01-01-2010,2010,January,N,Final,7400,6600,800,0.105
Sub-County Place,Oak View CDP,01-01-2010,2010,January,N,Final,2400,2000,400,0.153
Sub-County Place,Occidental CDP,01-01-2010,2010,January,N,Final,500,500,0,0
Sub-County Place,Oceano CDP,01-01-2010,2010,January,N,Final,3800,3400,400,0.107
Sub-County Place,Oceanside city,01-01-2010,2010,January,N,Final,80000,70600,9400,0.118
Sub-County Place,Oildale CDP,01-01-2010,2010,January,N,Final,15300,11800,3500,0.232
Sub-County Place,Ojai city,01-01-2010,2010,January,N,Final,3700,3100,600,0.154
Sub-County Place,Olancha CDP,01-01-2010,2010,January,N,Final,80,80,0,0
Sub-County Place,Olivehurst CDP,01-01-2010,2010,January,N,Final,5400,4100,1300,0.234
Sub-County Place,Ontario city,01-01-2010,2010,January,N,Final,79400,68100,11300,0.143
Sub-County Place,Onyx CDP,01-01-2010,2010,January,N,Final,100,100,0,0
Sub-County Place,Orange city,01-01-2010,2010,January,N,Final,70300,63300,7000,0.099
Sub-County Place,Orange Cove city,01-01-2010,2010,January,N,Final,3700,2800,900,0.247
Sub-County Place,Orangevale CDP,01-01-2010,2010,January,N,Final,17800,15900,1900,0.107
Sub-County Place,Orcutt CDP,01-01-2010,2010,January,N,Final,13200,11900,1300,0.099
Sub-County Place,Orinda city,01-01-2010,2010,January,N,Final,8000,7600,500,0.058
Sub-County Place,Orland city,01-01-2010,2010,January,N,Final,3160,2480,680,0.216
Sub-County Place,Oroville city,01-01-2010,2010,January,N,Final,6600,5400,1100,0.174
Sub-County Place,Oroville East CDP,01-01-2010,2010,January,N,Final,3700,3000,700,0.19
Sub-County Place,Oxnard city,01-01-2010,2010,January,N,Final,99200,86700,12600,0.127
Sub-County Place,Pacheco CDP,01-01-2010,2010,January,N,Final,2000,1700,300,0.144
Sub-County Place,Pacifica city,01-01-2010,2010,January,N,Final,21200,19400,1800,0.085
Sub-County Place,Pacific Grove city,01-01-2010,2010,January,N,Final,8000,7100,1000,0.119
Sub-County Place,Pajaro CDP,01-01-2010,2010,January,N,Final,1600,900,700,0.456
Sub-County Place,Palermo CDP,01-01-2010,2010,January,N,Final,2000,1400,500,0.272
Sub-County Place,Palmdale city,01-01-2010,2010,January,N,Final,63900,53000,10900,0.171
Sub-County Place,Palm Desert city,01-01-2010,2010,January,N,Final,21500,19200,2300,0.105
Sub-County Place,Palm Springs city,01-01-2010,2010,January,N,Final,20500,18000,2500,0.12
Sub-County Place,Palo Alto city,01-01-2010,2010,January,N,Final,31900,29300,2600,0.08
Sub-County Place,Palos Verdes Estates city,01-01-2010,2010,January,N,Final,5400,5200,100,0.022
Sub-County Place,Paradise town,01-01-2010,2010,January,N,Final,11200,9700,1500,0.135
Sub-County Place,Paramount city,01-01-2010,2010,January,N,Final,24700,20900,3700,0.151
Sub-County Place,Parksdale CDP,01-01-2010,2010,January,N,Final,1300,1000,300,0.211
Sub-County Place,Parkwood CDP,01-01-2010,2010,January,N,Final,800,700,100,0.13
Sub-County Place,Parlier city,01-01-2010,2010,January,N,Final,6700,5200,1400,0.211
Sub-County Place,Pasadena city,01-01-2010,2010,January,N,Final,74900,66100,8700,0.117
Sub-County Place,Patterson city,01-01-2010,2010,January,N,Final,8900,7400,1600,0.176
Sub-County Place,Paxton CDP,01-01-2010,2010,January,N,Final,0,0,0,0
Sub-County Place,Penn Valley CDP,01-01-2010,2010,January,N,Final,560,470,90,0.152
Sub-County Place,Perris city,01-01-2010,2010,January,N,Final,28400,22600,5700,0.203
Sub-County Place,Petaluma city,01-01-2010,2010,January,N,Final,30000,27200,2800,0.094
Sub-County Place,Pico Rivera city,01-01-2010,2010,January,N,Final,29500,25900,3600,0.121
Sub-County Place,Piedmont city,01-01-2010,2010,January,N,Final,5100,4800,300,0.067
Sub-County Place,Pine Mountain Club CDP,01-01-2010,2010,January,N,Final,600,600,100,0.13
Sub-County Place,Pinole city,01-01-2010,2010,January,N,Final,9400,8400,900,0.099
Sub-County Place,Piru CDP,01-01-2010,2010,January,N,Final,800,700,100,0.121
Sub-County Place,Pismo Beach city,01-01-2010,2010,January,N,Final,3700,3400,300,0.088
Sub-County Place,Pittsburg city,01-01-2010,2010,January,N,Final,31400,27100,4300,0.138
Sub-County Place,Pixley CDP,01-01-2010,2010,January,N,Final,1400,1000,400,0.306
Sub-County Place,Placentia city,01-01-2010,2010,January,N,Final,25800,22800,3000,0.117
Sub-County Place,Placerville city,01-01-2010,2010,January,N,Final,4900,4000,800,0.173
Sub-County Place,Planada CDP,01-01-2010,2010,January,N,Final,2300,1600,600,0.283
Sub-County Place,Pleasant Hill city,01-01-2010,2010,January,N,Final,17300,15600,1700,0.099
Sub-County Place,Pleasanton city,01-01-2010,2010,January,N,Final,35100,31900,3200,0.091
Sub-County Place,Plumas Eureka CDP,01-01-2010,2010,January,N,Final,170,110,60,0.352
Sub-County Place,Plymouth city,01-01-2010,2010,January,N,Final,520,430,90,0.174
Sub-County Place,Point Arena city,01-01-2010,2010,January,N,Final,240,220,30,0.107
Sub-County Place,Point Reyes Station CDP,01-01-2010,2010,January,N,Final,600,500,0,0.061
Sub-County Place,Pollock Pines CDP,01-01-2010,2010,January,N,Final,3700,3000,700,0.188
Sub-County Place,Pomona city,01-01-2010,2010,January,N,Final,66500,56900,9600,0.144
Sub-County Place,Poplar Cotton Center CDP,01-01-2010,2010,January,N,Final,1100,800,300,0.245
Sub-County Place,Port Costa CDP,01-01-2010,2010,January,N,Final,100,100,0,0
Sub-County Place,Porterville city,01-01-2010,2010,January,N,Final,23900,19200,4700,0.197
Sub-County Place,Port Hueneme city,01-01-2010,2010,January,N,Final,10200,8500,1700,0.169
Sub-County Place,Portola city,01-01-2010,2010,January,N,Final,970,590,380,0.395
Sub-County Place,Poway city,01-01-2010,2010,January,N,Final,24300,22500,1800,0.076
Sub-County Place,Prattville CDP,01-01-2010,2010,January,N,Final,0,0,0,0
Sub-County Place,Prunedale CDP,01-01-2010,2010,January,N,Final,10100,8700,1400,0.141
Sub-County Place,Quartz Hill CDP,01-01-2010,2010,January,N,Final,4700,3900,800,0.167
Sub-County Place,Quincy CDP,01-01-2010,2010,January,N,Final,600,520,80,0.138
Sub-County Place,Raisin City CDP,01-01-2010,2010,January,N,Final,100,100,0,0.192
Sub-County Place,Ramona CDP,01-01-2010,2010,January,N,Final,10600,9400,1200,0.111
Sub-County Place,Rancho Calaveras CDP,01-01-2010,2010,January,N,Final,3180,2460,720,0.226
Sub-County Place,Rancho Cordova City,01-01-2010,2010,January,N,Final,32700,27900,4800,0.146
Sub-County Place,Rancho Cucamonga city,01-01-2010,2010,January,N,Final,86000,76700,9300,0.108
Sub-County Place,Rancho Mirage city,01-01-2010,2010,January,N,Final,6400,5600,800,0.124
Sub-County Place,Rancho Murieta CDP,01-01-2010,2010,January,N,Final,2900,2700,200,0.081
Sub-County Place,Rancho Palos Verdes city,01-01-2010,2010,January,N,Final,18100,16900,1200,0.065
Sub-County Place,Rancho Santa Margarita city,01-01-2010,2010,January,N,Final,26300,24600,1600,0.062
Sub-County Place,Rancho Tehama Reserve CDP,01-01-2010,2010,January,N,Final,290,230,60,0.206
Sub-County Place,Randsburg CDP,01-01-2010,2010,January,N,Final,0,0,0,0
Sub-County Place,Red Bluff city,01-01-2010,2010,January,N,Final,5500,4510,990,0.179
Sub-County Place,Redding city,01-01-2010,2010,January,N,Final,41700,34500,7200,0.173
Sub-County Place,Redlands city,01-01-2010,2010,January,N,Final,31900,29100,2700,0.085
